quarter 1,,,,,,,,
regions,quoter_by_T,past_quoter%,past_year_this_quoter%,real_past_quoter%,real_past_year_this_quoter%,jan-mar_by_T,period_past year,real_period_past_year
Жамбыл,243477.0,112.5,113.1,107.7,95.7,234155.0,121.4,106.5
Жетісу,250593.0,116.9,120.3,112.2,100.9,227906.0,121.1,105.6
Қарағанды,317758.0,115.5,122.9,110.3,102.2,283308.0,124.0,107.4
Қостанай,281827.0,113.2,125.2,108.6,105.0,249547.0,124.0,108.1
Қызылорда,269987.0,107.3,120.4,102.2,101.1,262122.0,124.5,108.8
Маңғыстау,509032.0,113.1,133.1,107.8,107.8,455846.0,130.6,111.4
Павлодар,308459.0,115.9,125.2,110.7,105.1,273061.0,124.2,108.5
Солтүстік Қазақстан,241151.0,104.0,118.8,99.2,99.3,226799.0,121.3,105.7
Түркістан ,240720.0,111.1,115.8,106.6,97.2,236876.0,121.5,105.3
Ұлытау,448946.0,113.7,135.2,109.4,112.4,404279.0,137.5,118.7
Шығыс  Қазақстан,323726.0,119.5,120.5,114.7,100.8,286157.0,123.5,107.1
Астана қаласы,469300.0,120.5,119.9,113.5,98.0,406751.0,119.4,102.8
Алматы қаласы,394213.0,116.4,119.8,111.0,100.3,350266.0,119.6,104.2
Шымкент қаласы,250340.0,109.8,119.6,104.6,100.3,234965.0,121.8,106.4
